horizon,fold,partition,feature,n,missing_n,missing_rate
1,1,cal,lag_2,1480,0,0.0
1,1,cal,lag_3,1480,0,0.0
1,1,cal,lag_4,1480,0,0.0
1,1,cal,lag_5,1480,0,0.0
1,1,cal,lag_6,1480,0,0.0
1,1,cal,lag_7,1480,0,0.0
1,1,cal,lag_96,1480,0,0.0
1,1,cal,lag_672,1480,0,0.0
1,1,cal,target_slot_1d_ago,1480,0,0.0
1,1,cal,target_slot_7d_ago,1480,0,0.0
1,1,cal,recent_1_mean,1480,0,0.0
1,1,cal,recent_1_max,1480,0,0.0
1,1,cal,recent_1_std,1480,0,0.0
1,1,cal,recent_4_mean,1480,0,0.0
1,1,cal,recent_4_max,1480,0,0.0
1,1,cal,recent_4_std,1480,0,0.0
1,1,cal,recent_16_mean,1480,0,0.0
1,1,cal,recent_16_max,1480,0,0.0
1,1,cal,recent_16_std,1480,0,0.0
1,1,cal,recent_96_mean,1480,0,0.0
1,1,cal,recent_96_max,1480,0,0.0
1,1,cal,recent_96_std,1480,0,0.0
1,1,cal,recent_4_slope,1480,0,0.0
1,1,cal,peak_count_7d,1480,0,0.0
1,1,cal,since_last_peak_intervals,1480,0,0.0
1,1,cal,target_hour,1480,0,0.0
1,1,cal,target_quarter,1480,0,0.0
1,1,cal,target_weekday,1480,0,0.0
1,1,cal,target_month,1480,0,0.0
1,1,cal,is_offday,1480,0,0.0
1,1,cal,pre_holiday,1480,0,0.0
1,1,cal,post_holiday,1480,0,0.0
1,1,cal,bridge_day,1480,0,0.0
1,1,cal,labor_day,1480,0,0.0
1,1,cal,production_completed_1h,1480,0,0.0
1,1,cal,production_completed_2h,1480,0,0.0
1,1,cal,production_completed_3h,1480,0,0.0
1,1,cal,production_previous_day_total,1480,0,0.0
1,1,cal,production_same_slot_7d_mean,1480,0,0.0
1,1,cal,cbl_mid_6_10,1480,0,0.0
1,1,cal,cbl_mid_6_10_adjusted,1480,0,0.0
1,1,score,current,2750,0,0.0
1,1,score,lag_1,2750,0,0.0
1,1,score,lag_2,2750,0,0.0
1,1,score,lag_3,2750,0,0.0
1,1,score,lag_4,2750,0,0.0
1,1,score,lag_5,2750,0,0.0
1,1,score,lag_6,2750,0,0.0
1,1,score,lag_7,2750,0,0.0
1,1,score,lag_96,2750,0,0.0
1,1,score,lag_672,2750,0,0.0
1,1,score,target_slot_1d_ago,2750,0,0.0
1,1,score,target_slot_7d_ago,2750,0,0.0
1,1,score,recent_1_mean,2750,0,0.0
1,1,score,recent_1_max,2750,0,0.0
1,1,score,recent_1_std,2750,0,0.0
1,1,score,recent_4_mean,2750,0,0.0
1,1,score,recent_4_max,2750,0,0.0
1,1,score,recent_4_std,2750,0,0.0
1,1,score,recent_16_mean,2750,0,0.0
1,1,score,recent_16_max,2750,0,0.0
1,1,score,recent_16_std,2750,0,0.0
1,1,score,recent_96_mean,2750,0,0.0
1,1,score,recent_96_max,2750,0,0.0
1,1,score,recent_96_std,2750,0,0.0
1,1,score,recent_4_slope,2750,0,0.0
1,1,score,peak_count_7d,2750,0,0.0
1,1,score,since_last_peak_intervals,2750,0,0.0
1,1,score,target_hour,2750,0,0.0
1,1,score,target_quarter,2750,0,0.0
1,1,score,target_weekday,2750,0,0.0
1,1,score,target_month,2750,0,0.0
1,1,score,is_offday,2750,0,0.0
1,1,score,pre_holiday,2750,0,0.0
1,1,score,post_holiday,2750,0,0.0
1,1,score,bridge_day,2750,0,0.0
1,1,score,labor_day,2750,0,0.0
1,1,score,production_completed_1h,2750,0,0.0
1,1,score,production_completed_2h,2750,0,0.0
1,1,score,production_completed_3h,2750,0,0.0
1,1,score,production_previous_day_total,2750,0,0.0
1,1,score,production_same_slot_7d_mean,2750,0,0.0
1,1,score,cbl_mid_6_10,2750,0,0.0
1,1,score,cbl_mid_6_10_adjusted,2750,0,0.0
1,2,raw_train,current,16924,0,0.0
1,2,raw_train,lag_1,16924,1,5.90876861262113e-05
1,2,raw_train,lag_2,16924,2,0.0001181753722524226
1,2,raw_train,lag_3,16924,3,0.0001772630583786339
1,2,raw_train,lag_4,16924,4,0.0002363507445048452
1,2,raw_train,lag_5,16924,5,0.0002954384306310565
1,2,raw_train,lag_6,16924,6,0.0003545261167572678
1,2,raw_train,lag_7,16924,7,0.00041361380288347906
1,2,raw_train,lag_96,16924,96,0.0056724178681162845
1,2,raw_train,lag_672,16924,672,0.03970692507681399
1,2,raw_train,target_slot_1d_ago,16924,95,0.005613330181990073
1,2,raw_train,target_slot_7d_ago,16924,671,0.03964783739068778
1,2,raw_train,recent_1_mean,16924,0,0.0
1,2,raw_train,recent_1_max,16924,0,0.0
1,2,raw_train,recent_1_std,16924,0,0.0
1,2,raw_train,recent_4_mean,16924,3,0.0001772630583786339
1,2,raw_train,recent_4_max,16924,3,0.0001772630583786339
1,2,raw_train,recent_4_std,16924,3,0.0001772630583786339
1,2,raw_train,recent_16_mean,16924,15,0.0008863152918931695
1,2,raw_train,recent_16_max,16924,15,0.0008863152918931695
1,2,raw_train,recent_16_std,16924,15,0.0008863152918931695
1,2,raw_train,recent_96_mean,16924,95,0.005613330181990073
1,2,raw_train,recent_96_max,16924,95,0.005613330181990073
1,2,raw_train,recent_96_std,16924,95,0.005613330181990073
