slot,eligible_dates,events,rate,selected,fold,horizon
91,47,0,0.0,False,0,16
92,47,0,0.0,False,0,16
93,47,0,0.0,False,0,16
94,47,0,0.0,False,0,16
95,47,0,0.0,False,0,16
0,73,0,0.0,False,1,16
1,73,0,0.0,False,1,16
2,73,0,0.0,False,1,16
3,73,0,0.0,False,1,16
4,73,0,0.0,False,1,16
5,73,0,0.0,False,1,16
6,73,0,0.0,False,1,16
7,73,0,0.0,False,1,16
8,73,0,0.0,False,1,16
9,73,0,0.0,False,1,16
10,73,0,0.0,False,1,16
11,73,0,0.0,False,1,16
12,73,0,0.0,False,1,16
13,73,0,0.0,False,1,16
14,73,0,0.0,False,1,16
15,73,0,0.0,False,1,16
16,73,0,0.0,False,1,16
17,73,0,0.0,False,1,16
18,73,0,0.0,False,1,16
19,73,0,0.0,False,1,16
20,73,0,0.0,False,1,16
21,73,0,0.0,False,1,16
22,73,0,0.0,False,1,16
23,73,0,0.0,False,1,16
24,73,0,0.0,False,1,16
25,73,0,0.0,False,1,16
26,73,0,0.0,False,1,16
27,73,0,0.0,False,1,16
28,73,0,0.0,False,1,16
29,73,0,0.0,False,1,16
30,73,0,0.0,False,1,16
31,73,3,0.0410958904109589,False,1,16
32,73,3,0.0410958904109589,False,1,16
33,73,0,0.0,False,1,16
34,73,0,0.0,False,1,16
35,73,0,0.0,False,1,16
36,73,0,0.0,False,1,16
37,73,0,0.0,False,1,16
38,73,0,0.0,False,1,16
39,73,0,0.0,False,1,16
40,73,0,0.0,False,1,16
41,73,0,0.0,False,1,16
42,73,0,0.0,False,1,16
43,72,0,0.0,False,1,16
44,72,0,0.0,False,1,16
45,72,0,0.0,False,1,16
46,72,0,0.0,False,1,16
47,72,0,0.0,False,1,16
48,72,0,0.0,False,1,16
49,72,0,0.0,False,1,16
50,72,0,0.0,False,1,16
51,72,0,0.0,False,1,16
52,72,0,0.0,False,1,16
53,72,0,0.0,False,1,16
54,72,0,0.0,False,1,16
55,72,0,0.0,False,1,16
56,72,0,0.0,False,1,16
57,72,0,0.0,False,1,16
58,72,0,0.0,False,1,16
59,72,0,0.0,False,1,16
60,72,0,0.0,False,1,16
61,72,0,0.0,False,1,16
62,72,0,0.0,False,1,16
63,72,0,0.0,False,1,16
64,72,0,0.0,False,1,16
65,72,0,0.0,False,1,16
66,72,0,0.0,False,1,16
67,72,0,0.0,False,1,16
68,72,0,0.0,False,1,16
69,72,0,0.0,False,1,16
70,72,0,0.0,False,1,16
71,72,0,0.0,False,1,16
72,72,0,0.0,False,1,16
73,72,0,0.0,False,1,16
