analysis,horizon,fold,day_type,slot,restart,n,peak_n,cbl_mae,lgbm_mae,error_diff_lgbm_minus_cbl
A4,16,1,offday,57,False,8,0,0.6875,5.82665570949967,5.13915570949967
A4,16,1,offday,58,False,8,0,1.5625,5.03163224890352,3.46913224890352
A4,16,1,offday,59,False,8,0,2.21875,4.53163224890352,2.31288224890352
A4,16,1,offday,60,False,8,0,1.875,4.40663224890352,2.53163224890352
A4,16,1,offday,61,False,8,0,2.25,4.7244626617120975,2.474462661712097
A4,16,1,offday,62,False,8,0,1.5,5.343053116989717,3.843053116989717
A4,16,1,offday,63,False,8,0,1.15625,5.699497445672064,4.543247445672064
A4,16,1,offday,64,False,8,0,0.6875,6.138076577585867,5.450576577585867
A4,16,1,offday,65,False,8,0,1.9375,4.53163224890352,2.59413224890352
A4,16,1,offday,66,False,8,0,2.1875,4.78163224890352,2.59413224890352
A4,16,1,offday,67,False,8,0,1.21875,5.65663224890352,4.43788224890352
A4,16,1,offday,68,False,8,0,1.09375,5.868073902004817,4.774323902004817
A4,16,1,offday,69,False,8,0,0.90625,5.493073902004817,4.586823902004817
A4,16,1,offday,70,False,8,0,1.125,5.573050441408667,4.448050441408667
A4,16,1,offday,71,False,8,0,0.8125,6.073050441408667,5.260550441408667
A4,16,1,offday,72,False,8,0,1.5,5.03163224890352,3.53163224890352
A4,16,1,offday,73,False,8,0,1.75,4.78163224890352,3.03163224890352
A4,16,1,offday,74,False,8,0,1.71875,4.65663224890352,2.93788224890352
A4,16,1,offday,75,False,8,0,2.09375,4.763076577585867,2.669326577585867
A4,16,1,offday,76,False,8,0,1.09375,5.40663224890352,4.31288224890352
A4,16,1,offday,77,False,8,0,0.71875,6.029473985075914,5.310723985075914
A4,16,1,offday,78,False,8,0,0.625,6.03163224890352,5.40663224890352
A4,16,1,offday,79,False,8,0,1.71875,5.03163224890352,3.31288224890352
A4,16,1,offday,80,False,8,0,1.625,5.28163224890352,3.65663224890352
A4,16,1,offday,81,False,8,0,0.59375,5.95165570949967,5.35790570949967
A4,16,1,offday,82,False,8,0,0.90625,5.62167917009582,4.71542917009582
A4,16,1,offday,83,False,8,0,0.96875,5.78163224890352,4.81288224890352
A4,16,1,offday,84,False,8,0,0.6875,6.03163224890352,5.34413224890352
A4,16,1,offday,85,False,8,0,1.40625,5.15663224890352,3.75038224890352
A4,16,1,offday,86,False,8,0,1.71875,4.78163224890352,3.06288224890352
A4,16,1,offday,87,False,8,0,1.75,4.40663224890352,2.65663224890352
A4,16,1,offday,88,False,8,0,2.40625,4.03163224890352,1.6253822489035201
A4,16,1,offday,89,False,8,0,1.46875,4.95165570949967,3.4829057094996703
A4,16,1,offday,90,False,8,0,0.84375,5.718053116989717,4.874303116989717
A4,16,1,offday,91,False,8,0,0.4375,5.968053116989717,5.530553116989717
A4,16,1,offday,92,False,8,0,0.96875,5.843053116989717,4.874303116989717
A4,16,1,offday,93,False,8,0,1.90625,4.78163224890352,2.87538224890352
A4,16,1,offday,94,False,8,0,1.84375,5.03163224890352,3.18788224890352
A4,16,1,offday,95,False,8,0,0.90625,5.53163224890352,4.62538224890352
A4,16,1,workday,0,False,20,0,5.133333333333332,9.168406637497998,4.035073304164666
A4,16,1,workday,1,False,20,0,14.708333333333334,8.278696761045916,-6.429636572287417
A4,16,1,workday,2,False,20,0,13.933333333333337,6.751943377450698,-7.181389955882636
A4,16,1,workday,3,False,20,0,13.541666666666671,6.182803951184112,-7.358862715482556
A4,16,1,workday,4,False,20,0,13.1,6.7846036339501286,-6.315396366049873
A4,16,1,workday,5,False,20,0,19.775,6.597069338227004,-13.177930661772994
A4,16,1,workday,6,False,20,0,23.65833333333334,9.140702791299148,-14.517630542034189
A4,16,1,workday,7,False,20,0,25.391666666666666,9.938675137182827,-15.452991529483839
